nearest_university,listing_mode,gender_allowed,area_sqm,bedrooms,bathrooms,total_capacity,price,has_WiFi,has_AC,has_Elevator,has_Balcony,has_WashingMachine,has_NaturalGas
Minia University,Bed,Female,123.2,2,1,3,1731.83,1,0,1,0,1,0
Fayoum University,EntireUnit,Female,137.8,3,2,4,7267.9,1,1,1,1,0,1
Tanta University,Room,Female,65.0,1,1,2,3819.8,0,1,0,1,0,0
Cairo University,Bed,Female,72.3,2,2,4,1405.47,1,0,1,1,1,1
Assiut University,Room,Male,170.9,4,2,4,1499.99,0,0,0,0,0,1
Tanta University,Bed,Male,27.9,1,1,2,577.59,0,0,0,0,0,0
Helwan University,Bed,Female,194.3,3,2,4,2694.12,1,1,1,1,0,1
Cairo University,Room,Female,127.6,1,1,2,9441.52,0,1,0,1,0,0
Zagazig University,Room,Female,148.9,2,1,3,3172.53,0,0,0,1,1,0
Fayoum University,Bed,Male,189.5,1,1,2,3526.42,0,0,0,0,1,0
Alexandria University,Room,Female,188.2,4,2,6,2879.01,1,1,1,0,1,0
Zagazig University,Bed,Female,117.7,4,2,7,715.49,0,0,0,0,0,0
Tanta University,Bed,Male,183.4,3,2,4,2024.59,0,1,0,0,0,0
Fayoum University,EntireUnit,Male,170.0,1,1,1,7328.21,1,1,1,0,0,1
Benha University,EntireUnit,Female,155.4,3,2,6,5982.33,0,0,0,1,0,1
Zagazig University,Bed,Female,185.2,3,2,6,1183.27,0,0,0,0,0,0
Ain Shams University,EntireUnit,Female,68.1,1,1,2,4380.57,0,0,0,0,1,0
AUC,Room,Female,119.4,1,1,1,11533.31,0,0,0,0,0,1
Minia University,Bed,Male,125.5,2,1,3,2057.26,0,1,1,1,0,0
Helwan University,Bed,Male,180.7,4,2,7,1165.79,0,0,0,0,0,0
Helwan University,EntireUnit,Female,54.7,2,1,2,3342.94,1,0,1,0,1,1
Mansoura University,Bed,Female,137.6,4,2,7,1193.5,1,1,1,1,1,1
Alexandria University,Room,Male,59.8,2,1,3,2509.82,0,1,0,1,0,1
Minia University,Bed,Female,152.2,4,2,6,1288.43,1,1,1,1,0,1
Helwan University,Bed,Female,172.1,4,2,6,1545.74,1,1,1,1,1,1
GUC,Room,Female,196.5,2,1,3,10014.15,0,0,1,0,0,0
Ain Shams University,EntireUnit,Male,173.2,4,2,7,10069.11,0,0,0,1,1,0
Benha University,Bed,Female,145.0,3,2,5,1253.66,0,0,0,0,0,0
Mansoura University,Bed,Male,135.3,4,2,7,963.41,0,0,0,0,0,1
Mansoura University,EntireUnit,Female,176.5,3,2,4,8616.18,0,0,0,0,0,0
Suez Canal University,Room,Female,104.5,4,2,6,1117.72,0,0,0,0,0,0
Benha University,Room,Male,173.5,4,2,6,2071.64,1,1,1,1,0,0
Tanta University,Bed,Female,132.7,3,2,5,1119.84,1,0,1,1,1,1
Alexandria University,EntireUnit,Male,163.2,4,2,7,10603.32,0,0,0,0,0,0
AUC,Room,Male,155.1,4,2,6,3877.38,0,1,0,1,1,1
Assiut University,EntireUnit,Female,154.4,4,2,4,7824.69,1,1,1,1,1,1
Benha University,EntireUnit,Female,118.6,1,1,1,6551.75,1,1,0,1,0,1
Tanta University,EntireUnit,Male,173.2,2,1,3,7691.05,0,1,1,1,1,1
Fayoum University,Bed,Female,54.3,1,1,2,1547.9,0,1,1,1,0,0
Ain Shams University,Bed,Female,108.4,4,2,4,1534.18,0,0,1,1,0,1
Helwan University,EntireUnit,Female,100.2,3,1,3,4627.61,0,0,0,0,0,0
AUC,Room,Female,189.1,2,1,3,10568.57,1,1,1,1,1,1
Fayoum University,Bed,Female,115.0,2,2,4,1365.16,1,1,1,1,0,1
Alexandria University,Room,Female,171.5,1,1,2,10197.34,0,1,0,0,0,0
Ain Shams University,Bed,Female,163.6,2,1,2,5457.76,0,1,1,1,0,0
Mansoura University,Bed,Male,70.2,2,2,4,1052.21,1,0,1,0,1,0
Helwan University,EntireUnit,Male,127.7,1,1,2,5703.4,1,0,0,0,0,1
Benha University,Bed,Male,128.1,3,2,6,885.75,0,0,1,0,0,0
Zagazig University,EntireUnit,Male,96.4,2,1,2,4721.39,0,0,1,1,0,1
AUC,Bed,Female,121.3,4,2,5,2729.19,1,0,1,1,1,0
Alexandria University,Bed,Male,112.6,4,2,4,1767.95,0,0,1,0,0,0
Suez Canal University,Bed,Female,110.0,4,2,8,791.83,0,1,1,1,1,1
Mansoura University,Room,Female,128.8,4,2,5,1526.66,1,0,1,1,1,1
Benha University,Room,Male,190.9,1,1,1,8806.77,1,0,0,0,0,1
Mansoura University,Room,Female,143.8,2,2,4,4237.83,1,1,1,1,1,0
Ain Shams University,EntireUnit,Female,138.1,2,2,4,8194.86,0,0,0,0,1,0
Minia University,Bed,Female,32.3,1,1,1,2559.32,1,1,1,0,0,1
AUC,Room,Male,164.7,3,2,6,6570.49,1,1,1,0,0,0
Minia University,Room,Male,120.4,2,2,4,2013.44,0,0,0,0,0,0
Cairo University,Bed,Female,97.4,2,1,3,2159.68,0,1,1,0,0,0
Fayoum University,Bed,Male,170.6,3,2,6,1079.93,1,0,0,1,0,0
Minia University,EntireUnit,Female,141.8,3,2,5,5472.18,0,0,0,0,0,0
AUC,Room,Male,141.8,3,2,6,5305.58,0,0,0,0,0,0
Tanta University,Bed,Male,120.4,2,2,4,1615.68,1,1,0,0,0,0
Suez Canal University,Room,Female,154.5,4,2,6,1523.69,0,0,0,1,1,1
Benha University,EntireUnit,Female,189.7,2,1,2,9270.88,1,1,1,0,0,0
Fayoum University,Bed,Male,144.0,2,1,3,2107.27,1,1,1,1,0,1
Minia University,EntireUnit,Male,148.8,2,2,4,7546.39,1,1,0,1,1,1
Tanta University,Room,Female,142.9,4,2,8,1672.42,1,1,1,1,1,1
AUC,Bed,Male,147.4,3,2,4,3530.55,0,0,0,0,0,1
Cairo University,Bed,Male,72.7,1,1,1,4076.75,0,0,0,0,0,0
Benha University,Room,Female,110.1,2,1,2,2499.04,0,0,0,1,1,0
Tanta University,Room,Female,52.8,1,1,2,2284.47,0,0,0,1,0,0
AUC,EntireUnit,Male,168.3,2,1,2,18381.34,1,1,1,1,1,1
Ain Shams University,EntireUnit,Female,126.0,3,2,5,9442.0,1,1,1,1,1,1
Benha University,Bed,Male,108.5,4,2,8,740.08,1,1,1,0,1,0
AUC,Room,Female,198.9,2,1,3,11499.16,1,0,0,0,1,1
Helwan University,EntireUnit,Male,174.5,3,2,4,8576.36,0,1,0,0,0,1
Alexandria University,Bed,Male,163.4,4,2,5,2599.2,1,1,1,1,1,1
Minia University,EntireUnit,Male,186.1,1,1,2,9012.57,1,1,0,0,1,1
Tanta University,EntireUnit,Male,138.6,3,2,4,5216.57,0,0,0,0,0,0
Zagazig University,EntireUnit,Female,55.2,1,1,1,2356.05,0,0,0,0,0,0
Benha University,Bed,Female,144.7,3,1,3,2001.88,1,0,1,1,0,1
Tanta University,Bed,Female,195.3,3,2,5,1554.2,0,0,1,1,0,1
Suez Canal University,Room,Female,183.6,2,2,4,4063.04,1,1,1,1,1,1
Zagazig University,Room,Female,135.0,3,2,4,1786.09,1,0,0,0,1,0
Cairo University,Bed,Female,31.0,1,1,2,1962.28,1,1,1,1,1,1
Cairo University,EntireUnit,Male,145.9,1,1,1,8717.13,0,0,0,0,0,1
Cairo University,Room,Female,178.5,1,1,2,11310.59,1,1,1,1,0,1
Mansoura University,EntireUnit,Male,182.3,2,1,2,9759.56,1,1,1,1,1,1
AUC,Room,Female,114.3,4,2,6,2988.48,0,0,0,1,0,0
Suez Canal University,EntireUnit,Female,142.6,4,2,6,5353.24,0,0,0,0,1,0
Assiut University,Room,Male,53.7,1,1,1,4180.61,1,1,1,1,1,1
Alexandria University,Bed,Male,184.7,3,1,3,4014.5,1,0,1,1,1,1
Mansoura University,EntireUnit,Female,133.7,4,2,6,5599.35,0,0,1,1,0,0
Zagazig University,Bed,Female,113.9,2,1,3,2063.57,0,1,1,1,1,0
Minia University,Bed,Male,115.6,3,2,5,1104.83,1,1,1,1,1,1
Ain Shams University,Room,Male,125.4,4,2,6,2245.69,1,1,1,1,1,1
Mansoura University,Room,Female,88.7,1,1,1,5857.57,1,1,1,1,0,1
AUC,Room,Female,178.1,3,2,6,7068.42,1,1,0,1,1,1
Minia University,EntireUnit,Male,121.8,1,1,2,5196.2,1,0,0,1,0,0
Ain Shams University,Room,Female,48.4,1,1,2,2984.85,0,0,0,0,0,1
Mansoura University,EntireUnit,Male,136.7,3,2,6,8592.52,1,1,1,1,1,1
Assiut University,Bed,Female,64.8,1,1,2,1243.28,0,0,0,0,1,0
Helwan University,Room,Female,59.0,2,1,3,2332.89,1,1,1,0,1,1
Assiut University,EntireUnit,Female,179.5,1,1,2,6763.2,0,0,1,1,0,0
Suez Canal University,Bed,Male,76.6,3,2,6,679.31,1,1,0,1,0,0
Tanta University,Bed,Female,118.2,2,2,4,1604.86,1,1,1,1,1,1
Tanta University,Bed,Female,109.4,4,2,4,1233.31,0,0,0,0,0,1
Ain Shams University,EntireUnit,Male,163.4,1,1,1,10211.04,0,1,0,0,1,1
Zagazig University,EntireUnit,Male,71.2,1,1,1,3267.88,0,0,0,0,1,0
AUC,Room,Female,103.7,4,2,5,2766.44,1,0,0,0,0,1
Alexandria University,EntireUnit,Female,103.3,2,1,2,6805.88,0,1,0,1,0,0
Zagazig University,EntireUnit,Male,128.6,4,2,6,5400.83,1,0,1,1,1,0
Minia University,EntireUnit,Female,84.0,3,2,4,4621.39,0,1,1,1,1,0
Fayoum University,Room,Male,117.9,3,2,5,1900.11,1,1,1,0,1,1
Suez Canal University,Room,Female,191.5,2,2,4,4800.26,0,1,0,1,1,1
Suez Canal University,EntireUnit,Female,140.6,1,1,2,5804.93,0,0,0,0,0,0
Helwan University,Room,Female,115.5,2,1,2,3068.78,1,0,0,1,1,1
Cairo University,EntireUnit,Male,169.4,3,1,3,10358.74,1,0,1,0,0,1
Minia University,EntireUnit,Male,172.3,2,1,2,6685.97,1,0,0,0,1,1
Suez Canal University,EntireUnit,Female,195.2,4,2,7,8603.33,1,0,0,0,0,0
Assiut University,Bed,Male,184.9,2,2,4,1738.6,1,0,0,0,0,0
Tanta University,Bed,Female,172.6,4,2,8,969.13,1,1,1,1,1,1
GUC,Room,Female,140.5,2,1,2,6598.83,1,1,1,1,1,1
Tanta University,Bed,Female,171.7,3,2,5,1659.29,1,1,1,0,0,1
Assiut University,EntireUnit,Male,170.0,4,2,8,6321.58,0,0,0,0,0,0
Fayoum University,Bed,Female,55.0,2,1,3,721.04,0,0,0,0,0,0
Helwan University,Room,Male,103.8,2,2,4,2789.28,0,0,1,0,1,0
Alexandria University,EntireUnit,Male,85.1,2,1,2,6402.26,1,1,0,0,0,0
Cairo University,EntireUnit,Male,182.0,3,1,3,10869.53,0,0,0,0,0,0
Helwan University,EntireUnit,Male,83.1,1,1,2,3437.83,0,0,0,0,0,0
Suez Canal University,Bed,Female,45.0,1,1,2,1416.3,0,0,1,1,1,1
Assiut University,Room,Male,138.4,4,2,7,1503.44,1,1,1,0,0,0
Ain Shams University,EntireUnit,Female,58.9,1,1,2,3663.35,1,0,0,0,0,0
Minia University,Bed,Male,137.2,1,1,1,5659.22,0,0,1,1,1,1
Fayoum University,Room,Female,144.4,1,1,1,4910.22,0,0,0,0,1,0
AUC,Bed,Male,146.7,4,2,7,2557.52,1,1,0,1,0,1
Suez Canal University,EntireUnit,Male,178.7,4,2,6,9588.83,1,1,1,1,1,1
Suez Canal University,Bed,Male,165.3,3,2,4,1806.11,0,0,0,0,0,0
AUC,EntireUnit,Male,159.2,4,2,5,14904.57,0,0,0,0,1,1
Minia University,Bed,Male,175.3,2,1,3,2565.43,1,0,1,1,1,1
Suez Canal University,EntireUnit,Male,160.6,3,2,6,7829.2,1,1,1,1,1,1
Assiut University,Room,Male,187.0,3,2,6,2821.97,0,1,0,1,0,1
Helwan University,Room,Female,116.6,1,1,1,6475.99,0,1,1,1,0,0
AUC,Room,Male,78.0,2,1,3,4814.0,0,1,0,0,0,1
Minia University,Room,Male,135.7,4,2,5,1538.57,1,1,1,1,1,1
Benha University,Room,Male,157.1,3,2,5,2217.79,0,0,0,0,0,0
Ain Shams University,Room,Female,80.6,3,2,6,1562.06,1,0,0,0,1,1
Zagazig University,Room,Male,112.6,4,2,6,1485.33,1,1,1,1,1,1
Suez Canal University,Room,Male,39.6,1,1,2,2331.53,1,0,1,1,1,1
GUC,Room,Male,85.3,1,1,1,7402.49,0,0,0,0,0,0
GUC,EntireUnit,Male,150.5,4,2,5,13388.88,0,1,0,1,0,1
Helwan University,Bed,Male,107.0,4,2,6,909.94,0,1,1,0,0,1
Benha University,Bed,Male,100.7,2,2,4,1210.77,0,0,1,0,1,1
GUC,EntireUnit,Male,88.1,2,1,3,9611.39,1,1,1,1,1,0
Suez Canal University,Room,Female,157.5,1,1,1,7811.24,1,1,1,0,1,1
Mansoura University,Bed,Female,114.7,2,1,2,2822.95,0,0,1,1,0,1
GUC,Room,Female,145.8,1,1,1,14274.9,1,0,0,0,0,0
Fayoum University,Bed,Male,166.4,1,1,2,3005.86,0,0,1,0,0,0
Tanta University,EntireUnit,Male,174.4,4,2,6,9256.73,1,1,1,1,1,0
Cairo University,Bed,Female,101.0,3,2,5,1351.67,1,0,0,0,1,0
Helwan University,EntireUnit,Male,154.7,1,1,1,6526.29,0,0,0,1,1,1
Suez Canal University,EntireUnit,Male,175.3,3,2,4,7789.57,1,1,1,0,1,1
Assiut University,Bed,Female,181.3,4,2,7,1042.52,0,1,1,1,0,1
Benha University,Room,Female,76.6,3,2,4,1440.67,0,1,0,1,1,0
Alexandria University,EntireUnit,Female,161.5,2,1,2,10645.35,0,0,0,0,0,0
GUC,EntireUnit,Male,125.4,4,2,4,12037.67,0,0,0,1,0,0
AUC,Bed,Female,155.2,3,2,6,2712.56,1,0,1,1,1,1
Mansoura University,Bed,Male,127.6,1,1,2,3552.2,0,1,0,1,1,0
Tanta University,EntireUnit,Male,156.3,3,1,3,6392.21,0,0,0,0,0,0
Mansoura University,Bed,Female,184.8,1,1,2,4562.73,0,0,0,1,0,0
Minia University,Bed,Male,113.0,3,2,6,919.37,1,1,1,1,1,1
AUC,EntireUnit,Male,97.7,3,2,6,9473.85,1,0,1,0,0,0
Suez Canal University,EntireUnit,Male,101.7,3,2,5,4012.37,0,0,1,0,0,0
Helwan University,EntireUnit,Male,53.5,1,1,2,4147.13,0,1,1,1,1,0
Fayoum University,Bed,Female,47.8,1,1,2,1380.26,0,1,0,0,1,0
Zagazig University,Bed,Female,49.8,1,1,2,1026.16,0,0,0,0,0,0
Tanta University,EntireUnit,Male,35.7,1,1,1,1530.32,0,0,0,0,0,0
Assiut University,Room,Female,193.6,4,2,8,1992.19,1,1,0,1,1,1
Mansoura University,Room,Female,169.0,4,2,6,2051.67,1,1,1,1,1,1
GUC,EntireUnit,Male,116.3,2,1,3,13218.53,1,1,1,1,1,1
Zagazig University,EntireUnit,Female,159.6,2,2,4,5736.65,0,0,0,0,0,0
AUC,Bed,Male,96.4,3,2,5,2351.38,1,1,1,1,1,1
Assiut University,EntireUnit,Male,198.6,4,2,8,9306.89,1,1,1,1,1,1
Helwan University,Bed,Male,185.8,1,1,2,4709.42,1,1,0,1,1,1
Assiut University,Room,Male,132.1,1,1,2,5328.32,0,0,1,0,0,1
Helwan University,Bed,Female,137.9,2,2,4,1394.77,0,0,0,0,0,0
Cairo University,EntireUnit,Female,167.8,2,2,4,11394.04,1,0,1,1,0,1
Tanta University,Room,Male,140.1,4,2,5,1758.76,1,0,1,1,1,1
Tanta University,Room,Male,117.8,2,2,4,3026.0,0,1,0,0,0,1
Zagazig University,Room,Male,158.7,3,2,5,2593.35,0,1,1,0,1,1
AUC,EntireUnit,Female,62.3,2,1,2,6161.91,0,0,0,0,0,0
Cairo University,Bed,Female,165.2,4,2,7,1588.62,1,1,1,1,1,1
Zagazig University,Room,Female,157.6,4,2,5,1864.85,1,1,0,1,0,1
Mansoura University,Room,Male,104.0,4,2,6,1404.08,1,0,0,1,0,1
Mansoura University,Bed,Female,151.0,2,1,2,3990.48,1,1,1,1,0,1
Fayoum University,EntireUnit,Male,144.2,3,2,6,5080.91,1,0,0,0,1,1
Alexandria University,EntireUnit,Female,39.1,1,1,2,3799.72,1,1,1,1,1,1
Minia University,EntireUnit,Female,53.6,1,1,2,4084.02,1,1,1,1,1,1
Fayoum University,Room,Female,68.5,1,1,1,4055.21,1,1,0,1,1,0
Helwan University,EntireUnit,Female,146.8,4,2,4,8450.15,1,1,1,1,0,1
Cairo University,Bed,Male,143.4,4,2,7,1485.72,1,0,1,0,1,0
GUC,Bed,Male,154.3,2,1,3,5621.3,0,1,1,1,1,1
Fayoum University,Bed,Female,172.1,1,1,2,3983.06,0,1,1,1,1,1
Assiut University,Bed,Male,144.7,1,1,1,5308.65,1,0,1,0,0,0
Fayoum University,Room,Female,169.3,2,2,4,3356.21,1,0,0,0,0,0
Alexandria University,EntireUnit,Male,179.2,4,2,7,12057.36,1,1,1,1,1,1
Zagazig University,EntireUnit,Male,150.0,1,1,2,7257.49,1,1,1,0,1,0
Zagazig University,Room,Female,150.5,3,1,3,2829.48,1,1,1,0,1,1
AUC,Bed,Male,73.8,1,1,1,8167.15,0,0,0,1,0,1
Ain Shams University,EntireUnit,Female,168.1,3,2,6,9115.0,0,0,0,0,0,0
Benha University,EntireUnit,Female,154.9,2,1,3,6920.82,1,0,0,0,1,1
Cairo University,EntireUnit,Female,95.6,2,1,2,6400.67,0,0,0,1,0,0
Tanta University,Bed,Male,123.1,2,1,2,2794.3,1,0,1,1,0,1
Minia University,EntireUnit,Female,152.4,1,1,1,7144.55,1,1,1,1,1,1
Suez Canal University,Bed,Male,125.7,4,2,6,833.44,0,0,0,0,0,0
Minia University,EntireUnit,Male,110.0,3,2,5,4749.96,1,0,0,0,0,1
Suez Canal University,Bed,Male,100.3,1,1,2,2435.04,1,1,0,0,1,0
GUC,Bed,Male,137.4,3,2,5,2771.59,0,0,0,0,0,0
Assiut University,Room,Female,114.2,3,2,4,1397.94,0,0,0,0,0,0
Suez Canal University,Room,Female,54.6,1,1,1,4234.55,1,1,1,1,1,1
Fayoum University,Bed,Male,111.8,3,2,5,912.31,1,0,0,1,1,0
Ain Shams University,EntireUnit,Male,150.5,3,2,6,7893.75,0,0,0,0,0,0
Assiut University,Room,Male,153.6,1,1,2,5619.86,0,0,1,0,1,1
Tanta University,Room,Female,185.3,2,1,3,4187.5,0,0,0,0,1,1
Ain Shams University,EntireUnit,Female,131.3,4,2,7,7262.84,0,0,0,0,1,0
Mansoura University,EntireUnit,Male,106.2,4,2,8,4356.86,0,0,0,0,0,0
Alexandria University,Room,Female,88.6,2,1,3,3099.7,1,0,1,1,0,0
Cairo University,EntireUnit,Female,127.0,4,2,7,7337.85,0,0,0,0,0,1
Mansoura University,Bed,Female,168.4,4,2,6,1404.37,0,0,0,1,0,1
GUC,Room,Female,111.3,3,1,3,3508.93,1,1,1,1,1,0
Fayoum University,EntireUnit,Male,150.1,2,1,3,5581.81,0,0,1,1,0,1
Helwan University,Bed,Female,159.5,1,1,1,6587.13,1,0,0,0,0,0
Tanta University,Room,Male,152.7,1,1,2,6421.15,0,0,0,0,0,0
Mansoura University,EntireUnit,Female,196.1,4,2,6,9117.07,0,0,0,0,0,0
GUC,EntireUnit,Female,82.3,3,2,6,8253.01,0,0,0,1,0,0
Minia University,Room,Female,150.8,3,2,4,1682.76,0,0,0,0,0,0
AUC,EntireUnit,Female,182.8,1,1,1,20742.43,0,0,1,0,0,0
AUC,Bed,Female,34.7,1,1,1,5976.02,1,1,1,1,1,1
Minia University,Bed,Female,182.8,4,2,4,1648.97,1,0,0,0,0,0
Assiut University,Bed,Female,161.4,3,2,5,1077.87,0,0,0,0,0,0
Suez Canal University,EntireUnit,Male,197.2,4,2,8,9227.21,1,0,0,0,1,1
Tanta University,EntireUnit,Male,42.2,1,1,1,1697.91,0,0,0,0,0,0
Cairo University,Room,Male,148.9,2,2,4,5154.72,1,1,1,1,0,1
Cairo University,Room,Female,174.7,1,1,1,11404.05,0,0,1,0,0,0
Assiut University,Room,Female,146.0,4,2,7,1511.63,0,1,1,1,1,0
Fayoum University,Room,Female,150.5,1,1,1,5988.03,0,0,0,0,0,0
Benha University,EntireUnit,Female,130.4,4,2,8,5366.53,0,0,0,0,0,0
Fayoum University,Room,Female,101.8,4,2,7,1145.68,0,1,1,0,1,0
AUC,Bed,Male,135.8,4,2,5,3289.36,0,1,0,0,0,1
GUC,Bed,Female,141.3,4,2,8,1510.68,0,0,1,0,0,0
Ain Shams University,Bed,Female,173.5,1,1,1,9967.74,0,0,0,0,0,0
Fayoum University,Bed,Female,133.3,3,2,4,1374.27,0,0,1,0,1,1
Suez Canal University,Bed,Female,152.3,2,1,3,2246.26,0,0,0,0,0,0
Cairo University,Bed,Female,60.6,1,1,1,5679.67,1,1,1,1,1,1
Assiut University,EntireUnit,Male,140.0,2,2,4,5694.88,1,0,0,1,1,0
Cairo University,Room,Male,125.6,4,2,7,2429.36,1,1,1,1,1,1
GUC,Room,Female,126.0,2,2,4,5900.82,0,0,1,0,1,1
Cairo University,Room,Female,131.0,3,1,3,2955.97,1,1,0,1,0,0
Assiut University,EntireUnit,Male,106.7,2,1,3,4673.28,0,1,0,1,0,1
Helwan University,Bed,Female,113.6,2,1,2,2827.27,1,0,1,1,1,1
Mansoura University,EntireUnit,Female,195.7,2,1,2,8495.38,1,0,0,1,1,0
Minia University,Room,Male,146.5,3,2,6,1941.48,1,0,1,1,0,1
Ain Shams University,Room,Female,113.5,4,2,8,1779.06,1,1,0,1,0,0
Tanta University,EntireUnit,Female,104.1,4,2,4,5588.11,0,1,1,1,1,1
Suez Canal University,Room,Male,100.1,1,1,1,5167.58,1,1,0,0,1,0
Cairo University,Bed,Female,104.0,4,2,5,1268.39,1,0,0,0,0,1
Zagazig University,Bed,Male,180.5,3,2,6,1558.43,0,1,1,1,0,0
Tanta University,EntireUnit,Female,150.8,2,1,3,7436.34,0,1,0,0,0,0
Minia University,EntireUnit,Female,138.1,4,2,5,6003.56,0,1,0,1,1,0
GUC,EntireUnit,Female,151.6,4,2,5,13581.83,1,0,0,0,0,0
Ain Shams University,Room,Male,199.7,3,1,3,3673.01,1,0,0,0,0,1
Suez Canal University,Bed,Male,148.7,4,2,4,1905.73,0,1,0,0,1,0
Cairo University,Room,Male,137.6,1,1,2,10268.78,1,1,1,1,1,1
Ain Shams University,Room,Male,47.6,1,1,2,4535.85,1,1,1,1,1,0
Mansoura University,EntireUnit,Female,133.6,2,1,2,7126.22,0,1,1,1,1,0
Minia University,EntireUnit,Female,166.7,3,1,3,6240.03,0,0,0,0,0,0
AUC,Bed,Male,51.4,2,2,4,1729.39,0,1,0,0,1,0
Suez Canal University,EntireUnit,Male,174.3,1,1,2,7022.89,1,0,1,1,0,1
Assiut University,Room,Female,198.9,3,2,6,3183.83,0,1,1,1,1,0
Tanta University,Room,Female,100.9,3,2,4,1880.45,1,1,1,0,1,1
Alexandria University,Bed,Female,152.8,2,2,4,2348.54,0,0,0,0,0,0
Ain Shams University,EntireUnit,Female,184.9,2,1,2,11260.76,1,1,1,1,0,1
AUC,Room,Female,197.0,2,2,4,10193.79,0,0,0,0,0,0
Tanta University,EntireUnit,Male,158.0,3,2,6,7227.15,0,1,0,1,0,1
Alexandria University,Room,Male,175.7,2,1,2,5787.05,0,0,0,0,0,0
Assiut University,EntireUnit,Female,125.7,1,1,1,5386.57,1,0,1,1,1,1
AUC,EntireUnit,Female,172.2,4,2,7,18558.58,0,1,1,1,0,0
Benha University,Bed,Male,57.4,1,1,1,2225.48,0,0,0,1,0,0
Fayoum University,EntireUnit,Male,150.8,2,1,3,6844.73,1,1,1,1,1,1
Zagazig University,EntireUnit,Male,169.9,2,1,2,8114.12,1,0,1,1,0,1
Ain Shams University,EntireUnit,Male,170.7,1,1,1,10815.09,0,1,1,0,0,1
Minia University,Bed,Male,103.8,3,2,5,793.96,1,0,1,0,0,0
Mansoura University,EntireUnit,Female,143.4,1,1,2,7208.86,0,0,1,1,1,0
Zagazig University,EntireUnit,Female,199.4,2,2,4,7543.61,1,0,0,1,0,0
Suez Canal University,EntireUnit,Male,154.6,2,1,2,7558.4,0,1,1,1,1,1
Suez Canal University,EntireUnit,Male,134.1,3,2,4,7645.93,0,1,1,1,1,1
Mansoura University,EntireUnit,Male,129.9,4,2,8,6444.27,0,1,1,1,1,1
Fayoum University,Bed,Male,162.9,4,2,6,1083.05,1,1,1,1,0,0
Mansoura University,Bed,Male,198.7,1,1,2,5181.12,1,1,1,1,0,1
Tanta University,Bed,Female,127.6,4,2,8,683.59,0,0,1,0,0,0
Ain Shams University,Bed,Female,178.3,3,2,4,2372.32,1,0,0,1,0,0
Minia University,Room,Male,77.7,1,1,1,4460.16,1,1,1,1,1,1
Benha University,Bed,Female,121.8,4,2,5,1045.01,1,0,0,1,0,0
Assiut University,Bed,Male,112.4,4,2,6,781.38,0,0,0,1,1,0
Alexandria University,Room,Male,122.8,1,1,2,8371.35,0,1,1,0,0,0
Tanta University,EntireUnit,Male,71.0,1,1,1,4500.34,1,1,1,0,1,1
Fayoum University,Bed,Female,101.3,4,2,8,626.71,1,1,1,0,1,1
Alexandria University,EntireUnit,Male,135.6,4,2,7,11002.76,1,1,1,1,1,1
Benha University,Room,Female,166.2,3,1,3,2652.84,1,0,1,1,0,1
Mansoura University,Room,Female,167.1,1,1,2,8397.01,0,0,0,1,0,0
Zagazig University,EntireUnit,Male,113.7,1,1,2,5986.84,1,1,1,1,0,0
Cairo University,Room,Female,151.1,2,1,3,5174.23,1,1,1,1,1,1
Ain Shams University,Bed,Male,186.9,1,1,1,10167.1,0,0,0,1,0,1
Fayoum University,Bed,Female,84.6,3,2,4,1260.52,1,1,1,1,1,1
Suez Canal University,Room,Female,129.8,1,1,2,5671.75,0,0,1,0,0,0
Assiut University,Bed,Male,61.3,1,1,2,1792.74,1,1,1,1,1,1
Assiut University,Room,Male,187.7,2,1,2,3978.16,1,1,1,1,1,1
Benha University,EntireUnit,Female,169.0,3,2,5,6881.45,0,0,0,0,1,1
Helwan University,Bed,Male,178.1,2,1,3,3126.74,1,1,1,1,1,1
Tanta University,EntireUnit,Female,174.8,4,2,7,7774.97,1,1,1,1,0,0
Ain Shams University,Bed,Female,174.9,3,2,5,1775.75,0,0,0,0,0,1
AUC,Room,Female,113.2,1,1,1,13812.76,1,1,1,1,0,1
Benha University,EntireUnit,Male,144.1,1,1,2,5909.43,0,0,0,0,0,0
Fayoum University,Bed,Male,169.5,3,1,3,2678.4,0,1,1,1,0,0
Mansoura University,Room,Male,128.2,2,2,4,3456.15,0,1,1,1,1,1
AUC,Bed,Female,154.2,4,2,7,2404.8,1,1,0,1,1,1
Ain Shams University,EntireUnit,Female,158.7,2,1,3,9480.89,0,0,1,1,0,0
AUC,EntireUnit,Male,172.0,2,1,2,20171.31,1,0,1,1,0,0
Suez Canal University,Bed,Male,179.1,4,2,8,851.36,1,0,0,1,0,0
AUC,Room,Female,108.2,4,2,5,2928.2,0,0,0,0,0,1
Helwan University,EntireUnit,Female,193.5,1,1,2,9845.97,1,1,0,1,0,1
AUC,EntireUnit,Male,180.4,2,1,2,20092.26,1,0,1,1,1,1
Mansoura University,EntireUnit,Male,164.8,1,1,1,7879.9,1,0,1,1,0,0
Tanta University,Room,Male,118.0,3,2,4,1939.68,1,1,1,1,1,0
Mansoura University,Room,Male,184.8,2,1,2,3989.07,0,0,0,0,0,0
Helwan University,EntireUnit,Male,124.3,1,1,2,5841.26,0,0,0,0,0,0
Cairo University,Bed,Male,86.3,3,2,6,1160.08,1,1,1,1,1,1
Tanta University,Bed,Female,108.8,2,1,3,1655.38,1,0,1,0,1,1
